A1BG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	3	2	0	0	0	172	2	0	0	0	0	25	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	429	253	1253	955	1225	12	762	696	996	953	1142	784	425	513	697	1023
A4GNT	0	13	3	1	0	3	0	0	0	0	2	0	0	7	3	5
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	287	451	342	524	897	413	81	69	222	51	702	345	315	348	474	510
AACS	97	0	322	41	0	0	0	36	58	0	74	289	34	96	128	76
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0
AADACL2	0	0	0	0	0	0	0	3	48	0	0	0	0	0	0	0
AADACL2-AS1	3	0	0	15	20	0	0	1	0	18	0	4	14	0	13	32
AADACL3	0	0	0	0	33	0	0	0	170	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	67	0	49	36	0	0	0	26	205	24	207	9	61	129	108	0
AAED1	0	0	0	0	0	0	60	1	0	2	6	3	10	0	25	0
AAGAB	260	832	261	127	192	1	225	36	40	31	345	216	291	9	7	464
AAK1	506	343	300	430	2116	253	648	191	369	407	725	136	540	452	529	574
AAMDC	0	198	0	126	74	0	7	2	106	50	65	25	11	203	1	4
AAMP	514	723	1365	793	253	880	654	255	1381	161	1531	464	613	836	785	1138
AANAT	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0
AAR2	163	1345	627	90	195	471	262	44	189	77	751	167	116	112	592	417
AARD	0	0	27	0	1	0	15	0	0	0	0	0	1	0	0	0
AARS	264	2052	623	331	2323	367	1516	263	95	181	849	819	1003	1730	2	520
AARS2	60	0	379	211	92	0	37	6	41	91	168	80	48	460	115	235
AARSD1	0	5	12	1	8	10	0	2	15	0	13	5	3	9	5	0
AASDH	157	154	43	76	178	1	26	10	0	39	158	110	36	0	50	241
AASDHPPT	73	288	289	163	183	156	22	48	569	97	339	354	551	311	86	129
AASS	43	0	17	6	1	1	96	20	0	4	1	10	0	253	114	0
AATF	318	982	947	402	984	298	369	248	773	458	573	644	457	225	495	792
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ABAT	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA1	0	0	0	0	0	0	3	0	27	0	0	1	0	0	0	0
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	23	0	16	10	0	38	0	0	82	0	6	12	78	1	13	0
ABCA12	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ABCA13	0	0	1	1	0	0	2	1	0	0	56	23	13	0	0	0
ABCA17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	0	0	0	18	0	0	53	0	0	0	0	0	0	0	0	45
ABCA3	0	0	0	10	0	1	0	0	0	0	0	0	0	119	174	0
ABCA4	0	0	0	40	228	1	46	3	0	29	0	0	31	1	0	142
ABCA5	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	65	0	0	14	33	0	0	20	0	0	91	0	2
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCB10	172	29	12	107	343	0	153	93	198	227	71	62	106	94	328	246
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ABCB6	123	0	277	225	1403	0	271	57	6	65	122	287	146	188	632	138
ABCB7	205	225	528	104	505	0	213	75	87	77	375	224	177	118	308	299
ABCB8	210	2	347	185	267	0	188	67	196	45	34	200	88	93	27	577
ABCB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	0	0	1	45	0	2	0	0	105	0	0	0	0	0	58	0
ABCC10	0	0	1	0	181	1	60	1	0	0	0	5	32	1	0	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	45	0	3	0	0	0	7	89	0	77	6	0	64	1	148
ABCC2	0	0	0	0	0	6	0	13	132	0	0	2	0	0	0	0
ABCC3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC4	50	0	330	458	71	4	15	218	354	108	1106	133	289	45	1120	715
ABCC5	22	0	145	305	288	367	220	91	189	186	142	193	83	0	939	6
ABCC5-AS1	0	0	0	0	0	0	0	0	9	6	0	0	3	0	0	0
ABCC6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	5	0	1	30	2	18	0	11	0	0	2	0	6
ABCD1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	108	136	53	230	182	133	72	15	153	133	300	169	98	77	288	360
ABCD4	21	0	18	85	326	139	59	88	0	1	29	86	186	120	259	415
ABCE1	475	836	519	279	617	321	99	61	467	353	721	765	670	638	773	561
ABCF1	775	1768	1342	923	1004	1979	859	518	1460	509	1057	989	754	1475	1494	628
ABCF2	544	981	980	618	981	1388	303	331	492	337	1152	580	836	746	749	1154
ABCF3	242	0	263	301	606	179	71	150	616	87	398	166	272	0	403	145
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	194	2890	613	1048	389	562	850	76	1264	830	1257	933	963	1579	1285	1345
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ABHD10	68	97	59	41	0	478	49	0	125	54	182	114	5	61	26	20
ABHD11	119	267	330	532	866	163	19	31	709	52	273	460	290	520	332	511
ABHD12	79	597	263	412	159	0	702	77	298	233	252	315	391	1	597	187
ABHD12B	106	125	15	68	341	133	0	36	140	64	104	79	63	14	75	30
ABHD13	82	50	20	101	0	0	23	11	1	5	145	36	39	125	467	85
ABHD14A	0	0	0	0	0	0	0	0	0	0	0	12	0	27	0	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	0	0	32	43	2	0	25	0	0	86	155	78	29	418	0	0
ABHD15	23	0	0	28	0	0	0	0	106	2	5	0	28	0	1	3
ABHD16A	108	0	23	61	0	0	31	0	0	3	0	20	0	199	63	58
ABHD16B	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
ABHD17A	4	0	0	12	3	0	13	9	10	2	2	6	5	0	12	10
ABHD17B	48	158	6	86	65	0	80	23	48	30	62	60	0	0	5	56
ABHD17C	74	5	23	177	1	151	139	45	177	86	1	82	75	181	52	74
ABHD2	272	173	277	110	403	143	145	11	299	166	135	226	88	116	604	199
ABHD3	141	0	1	23	217	0	4	0	232	10	101	42	56	120	112	44
ABHD4	0	0	0	85	0	0	203	0	123	1	1	133	28	442	0	176
ABHD5	214	422	125	199	466	243	60	93	201	171	372	230	316	25	196	246
ABHD6	66	15	0	79	162	0	0	0	5	0	94	5	0	79	0	0
ABHD8	0	0	0	0	27	0	59	0	0	0	41	10	27	0	3	5
ABI1	12	291	256	208	109	866	132	25	20	27	494	237	274	1	225	142
ABI2	17	188	51	72	0	0	13	19	0	8	19	10	105	50	84	1
ABI3	0	0	0	1	0	0	0	27	0	0	0	0	0	0	0	2
ABI3BP	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ABL1	1	0	17	65	19	450	226	185	121	163	85	0	51	210	14	0
ABL2	126	0	38	92	396	0	55	168	731	110	251	155	24	233	26	37
ABLIM1	1	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0
ABLIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	0	0	0	57	1	0	0	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABR	44	285	123	306	522	859	585	83	516	315	448	196	262	100	400	609
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	50	148	82	144	75	0	0	61	911	141	277	71	189	68	113	229
ABT1	762	709	678	1070	1107	975	289	185	1376	81	1052	633	820	1407	1686	1160
ABTB1	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
ABTB2	25	0	37	71	301	0	218	26	31	142	134	0	12	86	0	103
AC093375.1	1	0	4	2	0	0	0	0	0	6	0	1	5	0	24	0
ACAA1	309	515	67	161	111	1	166	82	157	31	40	252	190	879	458	102
ACAA2	1390	5708	2223	1883	1660	793	233	220	3181	244	2181	1631	1598	3887	1037	2321
ACACA	268	64	599	539	236	162	157	65	824	141	412	517	434	662	187	814
ACACB	0	0	0	0	0	0	6	9	0	0	1	0	0	0	105	0
ACAD10	7	0	0	35	267	0	6	0	113	16	106	73	0	80	0	137
ACAD11	22	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
ACAD8	29	160	31	1	291	5	139	1	97	59	114	78	52	289	193	161
ACAD9	0	0	96	776	263	1	226	125	204	129	538	176	140	305	83	159
ACADL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	190	901	109	199	0	349	134	124	110	117	228	58	303	141	265	146
ACADS	0	0	149	0	0	0	0	18	151	30	74	40	29	0	0	1
ACADSB	0	137	357	138	25	2	0	43	0	7	21	18	68	40	190	187
ACADVL	1	3	24	134	714	1	80	97	128	60	215	60	73	317	111	199
ACAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	10	0	12	0	0	0	0	0	0	5	0	0	2	0	0	1
ACAP2	230	325	127	210	185	0	215	104	210	33	102	161	198	559	151	237
ACAP3	25	0	10	0	0	0	97	11	0	99	28	0	1	1	0	21
ACAT1	97	220	433	83	306	248	154	67	503	177	358	151	266	105	451	350
ACAT2	1605	3844	2447	1344	1049	1939	233	94	3021	130	3442	3173	2173	3338	1373	3570
ACBD3	214	393	45	96	74	1	135	72	239	138	172	106	144	150	226	165
ACBD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD5	133	0	0	111	253	1	11	30	0	0	61	3	175	0	62	130
ACBD6	0	0	16	61	0	0	129	1	210	26	79	166	151	0	110	105
ACBD7	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0
ACCS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	220	0	192	22	221	0	178	28	181	0	100	155	159	0	7	215
ACE	44	0	0	22	0	0	0	23	3	5	0	0	0	0	0	107
ACE2	1316	91	340	1105	747	1	130	193	3511	340	1827	369	632	1709	628	530
ACER1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
