A1BG	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0
A4GALT	1318	232	721	150	1737	7477	8260
A4GNT	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0
AAAS	851	55	1124	3	1256	713	2825
AACS	328	28	2	5	6	11	1950
AACSP1	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	496
AAED1	0	0	0	0	16	6	0
AAGAB	609	1	440	2	1594	567	736
AAK1	90	18	80	204	522	2039	337
AAMDC	258	1	0	1	23	1	1032
AAMP	1812	128	3796	57	4495	2225	19841
AANAT	0	0	0	0	0	0	0
AAR2	1297	1	2184	64	220	303	2665
AARD	0	0	0	0	0	0	1
AARS	1061	13	481	8	371	136	9641
AARS2	782	2	57	54	329	0	2281
AARSD1	0	0	35	0	0	53	52
AASDH	37	1	0	8	269	195	38
AASDHPPT	1	0	269	1	1	20	4008
AASS	203	6	61	138	254	141	400
AATF	51	18	2307	482	1719	1334	3391
AATK	1	0	0	0	3	0	0
AATK-AS1	0	0	0	0	0	0	0
ABAT	0	0	0	0	1	2	0
ABCA1	0	0	0	1	0	754	759
ABCA10	0	0	0	0	0	6	0
ABCA11P	0	17	0	0	0	0	0
ABCA12	0	0	0	34	0	0	0
ABCA13	0	0	0	0	0	1	0
ABCA17P	0	0	0	0	0	0	0
ABCA2	0	0	0	0	0	1	0
ABCA3	0	3	0	0	1	41	0
ABCA4	0	1	0	3	1803	1	0
ABCA5	0	1	0	1	0	2	264
ABCA6	0	0	0	0	0	0	0
ABCA7	0	1	0	0	0	146	0
ABCA8	1	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0
ABCB10	224	0	146	7	270	1529	1
ABCB11	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0
ABCB5	0	0	25	0	1	0	0
ABCB6	187	85	26	9	1546	1761	5049
ABCB7	202	1	9	15	197	256	0
ABCB8	1499	144	1420	5	1251	6572	3793
ABCB9	0	0	0	0	0	0	0
ABCC1	0	0	44	0	0	0	121
ABCC10	0	6	0	1	0	673	0
ABCC11	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0
ABCC13	1	0	1	0	0	1	3
ABCC2	0	0	215	1	189	21	0
ABCC3	0	0	0	0	0	0	0
ABCC4	112	15	376	89	877	234	688
ABCC5	659	18	1	100	155	1063	2332
ABCC5-AS1	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	1
ABCC6P1	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	1	0
ABCC9	0	0	0	0	0	0	0
ABCD1	0	0	0	0	456	0	0
ABCD2	0	0	0	0	0	0	0
ABCD3	514	3	160	18	105	1103	791
ABCD4	3	0	0	1	0	0	0
ABCE1	204	4	241	55	313	624	2700
ABCF1	642	114	2819	895	4004	6803	24078
ABCF2	1167	234	1631	201	1237	1621	10421
ABCF3	326	1	552	170	448	425	4735
ABCG1	0	0	0	0	0	0	0
ABCG2	3526	92	1222	94	1052	3197	3228
