A1BG	0	3	0	0	0	0	4	6	0	6	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A4GALT	16	481	168	52	29	5	176	90	185	322	154	314	2	90	226	85	142	37
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	7	300	67	41	9	0	110	24	96	177	97	291	1	58	119	28	12	27
AACS	1	2	1	0	0	0	0	0	0	45	2	17	1	0	4	11	0	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	11	7	0	0	11	0	0	3	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	1	8	7	0	1	0	0	0	34	44	0	22	0	3	14	10	0	2
AAED1	2	2	0	0	0	0	0	0	0	0	7	14	0	1	26	0	0	1
AAGAB	2	67	47	19	3	0	47	87	9	55	83	170	0	7	87	18	7	6
AAK1	4	35	18	4	5	7	53	8	146	78	73	228	3	12	73	16	19	10
AAMDC	10	211	28	12	0	2	99	17	104	81	54	95	1	8	67	12	0	9
AAMP	48	495	153	48	31	9	349	189	469	639	266	634	7	97	393	104	20	59
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	9	131	27	25	8	2	77	25	17	54	77	152	5	11	100	29	6	10
AARD	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AARS	9	227	59	19	2	3	58	24	103	129	28	76	1	6	36	12	0	6
AARS2	12	345	81	7	2	0	162	105	60	331	30	84	1	0	95	28	29	32
AARSD1	0	3	0	0	0	0	3	0	0	0	1	3	0	1	1	0	0	0
AASDH	5	32	20	14	1	2	48	0	32	97	6	47	2	25	18	5	1	4
AASDHPPT	16	71	22	16	3	0	27	15	80	119	69	139	0	36	86	22	15	10
AASS	0	51	0	1	1	0	18	1	40	0	4	7	1	9	1	8	0	0
AATF	8	230	113	32	14	2	44	133	52	190	148	341	24	26	180	65	12	23
AATK	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	1	8	6	0	0	0	1	2	0	0	8	0	0	0	0	0	0	0
ABCA1	0	78	0	0	0	0	0	0	6	26	0	0	0	0	0	0	0	0
ABCA10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	0	21	14	0	1	0	3	8	5	5	3	11	0	0	7	7	0	2
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	13	2	0	5	0	0	2	6	1	13	2	6	0	0	3	0	0	3
ABCA17P	0	2	0	0	0	0	3	6	0	0	3	0	0	0	1	1	0	0
ABCA2	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0
ABCA3	0	31	1	0	0	0	0	0	0	34	7	4	1	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	47	0	5	2	0	0	0	0	0	0
ABCA5	0	0	1	0	0	0	12	0	0	0	6	0	1	0	15	1	0	0
