A1BG	0	37	0	2	62	0	0	0	2	0	0	0	38	0	11	0	0	0	47	0	38
A1BG-AS1	1	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	102	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	12	0	0	0	0	0	0	53	0	0	0	0	3	0	37	112	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	505	283	540	883	1291	2595	599	1055	33	636	638	314	745	1263	1639	1096	1676	1554	542	620	1673
A4GNT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	265	203	182	597	103	300	135	618	24	460	4	263	187	112	310	264	984	539	695	46	147
AACS	1	20	81	198	121	191	1	34	0	0	58	0	0	133	145	156	21	0	78	0	377
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	19	3	16	7	0	0	7	0	3	0	0	8	3	3	10	0	13	0	0	0
AADACL3	26	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	514	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	22	5	239	0	0	40	37	24	0	30	0	0	27	31	33	36	26	0	7	0	0
AAED1	0	3	15	32	21	0	14	0	0	23	41	0	21	87	19	37	51	0	58	0	24
AAGAB	174	136	264	208	0	150	127	689	0	339	98	64	69	326	201	414	820	480	263	80	255
AAK1	213	976	941	130	107	423	140	170	19	318	69	67	175	206	494	135	945	441	263	65	392
