A1BG	12	26	14	50	20	0	29	31	37	76	35	37	20	0	13	2	13	0	13
A1BG-AS1	2	0	0	13	0	0	9	0	15	4	0	0	0	0	3	1	1	0	0
A1CF	4	0	0	0	0	0	0	25	0	0	0	0	0	0	0	3	0	0	0
A2M	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0
A2M-AS1	0	22	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	15	0	2	0	20	0	1	0	0	0	0	0	0	17	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	1	14	0	5	0	9	0	2	13	12	4	4	1	1	0	0	3	0	2
A4GALT	22	116	214	212	236	204	149	79	255	234	167	88	168	55	13	70	62	73	44
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	107	661	361	526	1022	768	420	291	604	537	1017	359	348	162	183	344	305	5	145
AACS	0	63	36	68	0	0	56	25	5	15	0	0	32	0	0	0	0	0	0
AACSP1	4	0	0	25	54	0	8	0	7	6	58	3	0	8	0	6	2	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AADACL2-AS1	0	1	5	3	0	0	14	0	9	8	10	0	2	1	0	4	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	1	0	0	0	66	0	0	0	0	0	0	0	1	0	0	0	0	1	0
AAED1	10	26	45	17	37	21	0	17	29	50	35	34	44	5	0	6	3	9	0
AAGAB	73	495	194	407	581	230	323	103	174	352	106	236	80	51	50	163	40	28	76
AAK1	6	158	76	144	196	89	106	36	83	290	105	33	107	30	31	40	16	45	15
AAMDC	37	216	114	306	383	131	189	77	143	204	187	206	174	91	70	94	86	9	74
AAMP	430	2824	1652	2183	3962	2359	1416	1547	1480	2208	1913	852	978	603	456	1092	796	151	188
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	137	763	514	639	814	594	521	295	569	958	518	215	218	102	139	197	217	97	0
AARD	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0
AARS	70	0	79	69	373	366	777	31	164	473	184	325	164	12	60	186	105	77	68
AARS2	47	256	80	440	721	374	260	156	341	349	228	122	70	33	39	224	88	32	0
AARSD1	0	5	5	6	6	4	4	2	5	6	4	6	6	3	0	4	3	1	1
AASDH	7	57	216	114	337	40	37	31	125	175	123	78	77	67	21	67	48	76	0
AASDHPPT	78	458	286	247	674	249	189	320	529	363	501	0	253	65	175	115	115	49	15
AASS	0	0	56	0	17	0	19	5	9	5	1	0	0	0	1	0	7	8	0
AATF	96	527	459	736	1895	929	476	350	469	717	849	70	552	161	147	299	215	172	120
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	28	50	2	15	34	7	19	28	23	0	0	0	0	26	19	15	0	0
ABCA1	0	11	0	3	0	8	8	68	61	46	0	0	0	2	1	27	0	22	0
ABCA10	1	57	78	15	0	33	0	28	22	0	0	0	2	0	0	26	3	0	0
ABCA11P	6	47	12	32	36	25	5	6	40	13	35	0	15	1	8	12	10	3	7
ABCA12	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
ABCA13	0	10	0	0	0	13	0	31	29	0	15	0	1	0	1	7	8	0	0
ABCA17P	46	272	294	250	379	207	172	130	284	329	261	220	162	48	32	118	58	12	116
ABCA2	0	5	0	0	120	9	27	0	35	0	0	0	0	0	0	0	5	0	0
ABCA3	23	18	62	51	144	18	100	42	0	0	86	0	47	10	0	21	21	0	0
ABCA4	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	5	0	2	7	61	1	42	6	34	49	62	0	44	0	0	3	0	22	0
ABCA6	0	0	0	0	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	24	14	0	0	0	17	4	14	0	8	1	0	29	3	0	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	13	0	0	8	0	0	8	0	0	0	4	0	0	0	0	6
ABCB1	0	13	41	32	40	46	81	0	39	0	0	0	26	0	0	0	0	0	0
ABCB10	0	14	0	9	74	62	40	5	50	39	0	0	42	12	2	5	5	6	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	7	0	0	0	0	0	30	0	16	0	0	0	0	0	0	0	0	0	0
ABCB5	9	0	0	2	0	0	0	8	0	4	2	0	0	0	0	0	1	0	0
ABCB6	19	148	141	23	358	40	129	123	21	77	320	99	120	92	36	145	20	0	0
ABCB7	47	117	115	167	608	196	294	97	172	118	112	130	101	7	47	50	61	0	0
ABCB8	89	472	271	573	785	316	698	234	409	778	431	131	398	140	72	191	227	32	74
ABCB9	0	2	6	43	0	16	3	11	12	48	0	0	5	3	0	5	8	0	0
ABCC1	1	12	40	28	0	18	3	0	21	45	0	0	16	3	0	0	19	43	0
ABCC10	0	0	1	22	0	0	40	0	0	39	0	0	0	0	0	63	7	0	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	14	0	0	18	0	1	0	0	0	0	0	16	0	0	0	5	7	0
ABCC2	5	22	0	0	6	0	24	4	3	3	0	0	0	0	0	17	1	6	0
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ABCC4	5	5	0	19	57	1	68	42	22	7	0	1	107	0	0	1	2	12	0
ABCC5	50	1009	404	525	1889	613	496	377	303	748	462	244	263	195	88	246	170	15	12
ABCC5-AS1	0	5	7	2	6	0	2	0	8	0	0	0	0	0	0	0	0	0	0
ABCC6	4	26	0	9	25	15	1	6	23	9	0	31	1	0	2	0	14	23	0
ABCC6P1	7	5	3	43	22	15	10	5	14	29	35	43	12	4	8	7	5	38	22
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	5	0	0	32	0	0	14	3	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	70	366	344	340	275	564	235	231	339	392	437	4	36	54	55	142	69	51	45
ABCD4	4	116	90	165	155	16	182	35	178	121	242	0	81	37	0	42	55	59	0
ABCE1	145	424	600	386	1479	858	578	418	601	686	885	120	275	176	226	276	122	55	138
ABCF1	430	2202	2054	2390	2406	1686	2653	1345	2156	2592	2428	1142	1392	422	398	614	699	171	458
ABCF2	591	2740	2663	3019	5323	3679	3528	1627	2856	3257	4277	974	2195	643	757	1164	1126	438	429
ABCF3	90	363	307	508	719	293	460	195	522	527	789	171	340	120	161	124	205	101	100
ABCG1	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	21	0	0	0	3	1	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0
ABCG5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ABHD1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	19	17	86	130	124	33	17	0	159	49	144	0	57	14	38	70	7	20	0
ABHD11	35	48	44	140	215	70	18	30	140	176	185	130	63	8	11	20	46	0	0
ABHD12	20	3	64	13	236	10	0	38	42	121	0	0	49	28	6	28	31	40	0
ABHD12B	0	66	28	116	235	21	1	51	9	29	0	0	60	10	0	20	4	0	0
ABHD13	9	72	163	128	87	183	58	52	14	48	17	46	168	25	47	71	8	18	17
ABHD14A	0	12	0	14	0	0	0	0	0	0	0	32	0	6	0	2	4	0	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	223	477	415	558	1169	420	244	283	460	904	278	281	261	84	15	289	248	26	103
ABHD15	10	14	0	23	0	72	38	51	0	5	41	71	57	5	22	11	1	0	0
ABHD16A	60	112	80	157	155	166	189	70	86	99	238	0	205	11	14	22	27	0	35
ABHD16B	2	0	0	1	0	0	0	5	1	0	21	1	0	2	0	0	0	0	0
ABHD17A	0	1	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABHD17B	0	66	0	31	43	5	0	8	38	47	50	4	12	0	3	1	2	1	0
ABHD17C	3	72	93	118	140	142	53	32	29	39	13	0	44	56	27	6	0	22	1
ABHD2	28	62	129	98	282	232	100	140	105	119	112	34	228	45	22	57	41	56	16
ABHD3	78	273	343	314	760	471	351	350	290	717	135	270	199	134	157	206	60	63	60
ABHD4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ABHD5	21	39	36	77	114	230	101	64	135	197	78	76	114	56	17	89	18	35	0
ABHD6	4	32	75	137	165	28	18	15	3	82	0	132	1	21	0	9	2	15	0
