A1BG	0	0	2	0	22	34	8	0	0	0	0	0	0	0	22	0	0	0	0	3	0	0	0	0	0	0	14
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	9	97	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	1	1	0	0	0	27	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
A2ML1	0	0	1	0	7	0	29	79	0	0	67	0	14	0	38	0	10	65	0	8	0	14	0	9	14	0	40
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
A4GALT	148	95	249	383	200	335	140	174	466	675	88	253	88	331	653	321	132	160	731	248	702	307	682	305	158	423	259
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	108	64	106	0	197	1	88	1	71	82	1	0	71	1	24	10	82	27	301	92	235	23	314	46	115	57	79
AACS	0	27	79	0	114	0	11	98	68	271	4	23	0	0	385	0	28	119	0	80	32	105	78	256	113	130	132
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	4	0	0	0	0	0	0	0	0	0	0	0	26	0	8	0	0	0	0	0	0	7	0	0	1	0
AADACL2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
AADACL2-AS1	22	0	0	0	6	0	0	0	2	14	0	8	0	0	22	0	4	17	0	5	8	40	0	14	1	3	7
AADACL3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	44	75	0	19	0	41	27	0	1	23	47	2	0	81	0	11	0	0	9	1	0	404	0	30	105	31
AAED1	117	13	0	0	24	26	69	1	48	14	0	0	0	15	95	0	17	1	130	92	0	13	32	41	24	56	24
AAGAB	117	222	273	387	548	389	268	116	664	705	299	51	260	286	379	129	279	206	266	241	599	392	528	269	298	121	253
AAK1	255	169	147	215	372	451	374	190	459	925	214	465	476	327	1145	502	392	280	113	215	722	544	828	663	262	290	783
AAMDC	0	3	26	0	5	0	18	34	0	30	22	41	0	0	43	0	2	34	43	16	0	0	0	0	0	46	35
AAMP	978	532	1144	1570	1707	1411	1466	594	1967	2980	794	1221	1098	1506	1715	481	876	826	1550	922	1494	2717	1691	1424	1302	1075	1856
AANAT	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	0	302	87	0	160	0	211	98	118	461	94	136	189	11	623	10	199	161	333	55	608	0	399	213	195	244	419
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	17	0	0	0	0	0	0	7
AARS	69	296	97	0	306	292	253	162	234	556	412	196	156	129	413	446	175	185	265	273	718	224	1012	456	311	40	817
AARS2	41	40	0	0	165	14	5	0	194	220	4	178	7	57	122	131	4	1	0	49	31	26	146	277	16	115	170
AARSD1	0	1	1	0	2	6	5	0	7	12	0	0	2	0	5	4	4	0	4	0	7	4	0	1	2	2	3
AASDH	155	93	88	6	17	0	16	95	139	54	0	31	22	0	70	100	89	88	113	53	77	0	46	191	10	75	123
AASDHPPT	198	154	125	12	298	200	435	69	218	324	31	46	57	124	235	4	121	48	116	247	288	197	604	96	300	132	286
AASS	40	75	135	262	47	402	96	74	431	8	1	142	0	20	209	95	247	84	0	155	82	331	135	330	69	384	128
AATF	297	490	161	1	445	613	644	191	980	492	390	606	472	321	858	15	239	759	514	492	556	882	494	420	495	413	797
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
