A1BG	0	0	0	0	0	5	0	0	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	21	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	3	13	37	0	28	0	1	0	0	27	59	0	146	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	153	561	105	78	172	280	59	160	466	935	202	200	799	404	130	923	633	307	645	578	263	549	497	597	297	587	731	469	347
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	620	628	1	81	14	569	53	176	480	1019	2	5	1119	859	246	1283	532	258	406	1394	526	899	475	452	254	1493	601	1191	431
AACS	26	266	135	41	73	280	2	158	394	38	58	54	333	101	353	160	280	87	290	570	428	41	98	1	36	220	157	236	100
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	19	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	4	0	0	0	0
AADACL2-AS1	0	0	0	0	0	3	4	0	0	8	0	8	0	1	1	15	2	3	9	17	13	4	24	26	0	11	5	28	0
AADACL3	21	0	0	13	0	13	12	0	0	56	0	0	31	1	0	24	17	2	14	130	0	40	0	0	31	111	41	45	8
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	18	174	1	11	15	151	0	120	131	145	1	0	430	119	276	338	91	164	204	528	35	171	216	138	54	553	1	149	37
AAED1	0	0	0	0	0	22	0	0	0	0	0	0	0	3	0	4	20	14	5	0	0	30	0	0	0	0	0	0	0
AAGAB	691	987	17	15	66	542	0	6	143	688	221	0	689	360	120	646	698	308	554	1215	232	1031	609	54	337	717	632	525	150
AAK1	192	268	364	45	155	197	163	89	220	238	98	17	395	208	436	461	321	253	433	732	749	160	524	716	117	1319	128	453	106
AAMDC	106	13	0	5	7	103	9	0	0	158	22	23	37	190	38	65	54	77	85	27	37	39	59	30	66	77	196	61	56
AAMP	2248	2664	199	212	303	1717	14	482	1200	2804	370	429	3187	2768	873	3080	2876	1343	1612	4140	1434	3913	1553	2058	1081	3992	2303	4761	1674
AANAT	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	471	479	20	38	57	314	40	89	94	585	3	186	727	324	234	674	744	170	198	799	389	782	562	84	330	682	384	420	453
AARD	0	0	0	0	0	0	0	0	4	0	0	0	0	22	0	0	3	0	0	0	9	1	0	0	0	0	0	0	10
AARS	381	659	174	38	99	807	15	7	622	1284	237	129	720	841	129	962	657	291	485	2610	117	2012	871	670	264	1413	951	864	374
AARS2	100	20	19	1	24	125	107	0	0	1006	0	6	185	243	37	287	149	69	84	45	115	190	83	210	142	449	39	261	132
AARSD1	11	6	0	1	0	3	0	2	1	4	4	1	13	13	17	17	14	3	15	18	18	13	14	4	8	25	12	14	4
AASDH	142	140	1	10	3	60	0	0	37	85	0	0	52	87	122	69	176	26	153	259	77	55	68	0	124	263	87	54	119
AASDHPPT	291	836	65	9	20	352	0	49	156	326	2	32	537	317	236	667	979	246	399	1181	195	893	636	308	109	1646	331	952	264
AASS	25	43	0	1	0	73	20	0	0	101	1	0	2	21	1	118	60	25	79	378	0	1	15	159	82	0	43	0	57
AATF	1353	1458	11	78	83	506	17	130	411	777	198	693	1170	635	468	1469	1954	403	620	2294	225	1650	1221	323	432	1826	665	2008	587
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	0	117	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	1	0	0	0	12	0	0	0	44
ABCA1	49	58	0	2	19	450	9	0	1	1389	31	123	82	1444	0	243	89	63	555	15	162	115	107	73	1037	211	1326	425	158
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	21	11	123	1	0	10	0	0	12	14	0	1	13	6	9	9	14	5	8	108	28	18	17	0	20	33	12	10	0
ABCA12	3	0	0	0	0	0	1	0	25	3	0	0	0	2	0	0	0	25	0	0	0	0	0	105	0	0	0	0	0
ABCA13	1	0	0	1	16	27	19	104	0	0	0	0	0	0	2	67	99	33	17	224	89	31	24	60	0	0	0	285	1
ABCA17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	23
ABCA2	0	0	0	4	0	0	1	0	0	0	0	2	0	4	6	0	0	0	4	1	7	0	1	0	0	0	0	0	1
ABCA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	59	2	0	21	30	15	63	47	17	5	0	0	0
ABCA5	0	0	1	0	0	15	0	0	61	66	0	0	0	0	73	22	115	4	0	0	54	14	0	0	0	0	0	0	0
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	0	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	6	1	1	0	0	0	0	0	0	20	19	45	3	0	7	4	5	105	20	3	163	2	99	33	0	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	16	0	0	0	0	0	0	0	0
ABCB10	109	59	234	8	9	52	0	43	70	165	151	114	116	64	8	137	77	77	14	84	290	257	38	35	116	524	60	221	250
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	16	0	0
ABCB6	149	943	39	9	43	197	0	38	24	191	34	2	153	321	159	250	808	159	259	436	47	1211	438	226	34	278	56	223	177
ABCB7	420	406	0	12	10	8	0	165	184	135	2	25	514	244	62	358	190	212	188	578	161	115	281	262	253	1277	155	986	155
ABCB8	411	226	38	51	31	244	5	0	121	389	1	336	338	392	523	636	532	164	255	508	304	347	207	353	245	430	185	799	223
ABCB9	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	0
ABCC1	17	0	0	0	0	1	0	0	0	112	0	6	0	2	0	0	75	0	31	12	0	1	0	0	0	0	0	0	0
ABCC10	105	214	0	0	0	49	0	0	0	172	22	0	30	51	0	4	39	0	94	26	19	0	129	67	0	90	43	21	15
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	29	0	0
ABCC13	27	0	0	0	0	7	0	0	0	0	0	0	0	26	0	0	33	11	0	12	0	0	0	0	19	0	27	0	0
ABCC2	71	0	0	0	0	77	0	0	0	357	1	211	0	52	86	120	523	88	125	145	86	238	2	178	392	250	119	8	80
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0
ABCC4	0	316	2	21	32	201	0	0	402	161	0	1	223	363	180	519	651	292	392	848	889	595	1018	762	148	1282	144	1372	110
ABCC5	330	170	0	15	11	149	1	1	42	310	0	269	65	352	9	401	226	148	416	863	698	664	193	304	137	1163	297	265	126
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ABCC6	0	0	66	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0
ABCC6P1	0	0	46	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	28	0	0	0	11	10	0	0	0	13	0	0	0	0	0	0	0	6	16	0	0	0	0	23	0	0	6	7	0
ABCD1	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	3	0	1	0	0	0	3	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	155	177	85	18	67	527	0	211	378	300	146	354	569	84	247	610	862	429	491	2335	140	1070	696	844	144	1067	109	922	475
ABCD4	246	238	0	7	0	147	0	0	2	112	54	212	110	217	90	194	188	64	111	413	1	57	139	123	61	178	81	251	245
ABCE1	820	1316	164	27	54	775	88	130	650	1071	122	270	1434	525	766	1576	1262	424	589	4217	525	2383	1003	585	366	3650	728	1557	713
ABCF1	1155	766	525	111	127	540	73	243	952	808	207	168	1299	870	572	1063	755	412	992	1355	693	1136	1002	723	432	1054	765	732	775
ABCF2	520	1017	129	133	141	787	2	304	1145	1400	260	210	1690	950	645	1967	2281	559	933	3080	372	2701	1343	988	512	4706	1186	2590	1101
ABCF3	861	582	1	56	68	512	2	155	342	1243	0	5	481	432	377	467	644	224	398	904	254	1161	583	99	288	869	1039	927	265
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0
ABCG2	156	1161	75	57	279	625	105	205	674	267	338	626	1283	978	75	2540	1444	587	732	2820	490	2638	1002	878	327	4269	390	3113	811
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABHD10	349	402	1	16	23	222	1	1	129	298	1	30	451	77	0	229	257	76	191	743	162	678	398	199	142	689	269	426	258
ABHD11	145	663	0	48	62	306	1	104	304	474	17	78	406	412	313	697	962	244	455	482	535	845	566	423	190	1179	351	1397	297
ABHD12	33	65	70	16	13	148	37	16	27	183	84	197	141	330	57	200	282	122	225	170	295	133	106	119	109	394	94	187	166
ABHD12B	61	212	9	3	0	152	0	0	19	402	0	0	90	175	59	131	105	30	90	102	0	40	79	0	174	79	131	59	142
