A1BG	0	0	0	0	10	131	0	0	137	0	1	0	0
A1BG-AS1	0	0	0	14	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	16	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	4	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	518	17	209	89	8	399	1658	217	93	520	322	458	85
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	315	9	102	309	65	721	3033	193	0	973	269	610	1059
AACS	13	1	0	103	60	0	1050	290	1	501	1	0	907
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	20	0	0	0	0	0	0
AADACL2-AS1	21	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	44	0	0	0	0	0	0	0	208	0
AAED1	0	0	1	0	0	0	4	0	0	0	0	0	0
AAGAB	71	0	146	285	19	99	1045	137	251	1	233	357	0
AAK1	212	7	29	190	12	11	1588	41	43	269	263	210	318
AAMDC	0	0	86	86	30	14	883	94	0	488	0	111	196
AAMP	683	27	984	2258	352	507	11416	1361	1065	3367	1258	2592	4515
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	91	8	68	222	132	131	888	47	541	75	574	423	694
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	487	9	393	575	145	425	1463	196	38	2000	1366	578	1104
AARS2	84	3	385	7	60	718	1487	366	7	825	892	136	8
AARSD1	0	0	3	14	1	4	31	9	0	58	0	7	0
AASDH	1	0	16	49	38	88	393	94	1	0	38	172	115
AASDHPPT	4	1	67	276	27	48	509	19	9	540	126	123	30
AASS	41	1	99	12	26	147	1	12	21	1800	154	209	324
AATF	259	6	218	924	131	378	4396	352	260	773	71	410	0
AATK	0	0	0	0	0	0	0	0	0	0	2	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	0	18	0	10	0	0	16	0	0	1	0	0
ABCA1	1	1	129	33	25	128	193	85	40	861	126	0	859
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	0	1	3	0	5	0	156	0	0	0	0	23	2
ABCA12	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCA13	22	0	0	6	0	0	543	48	0	0	20	0	0
ABCA17P	0	0	0	0	0	0	0	0	0	0	1	0	77
ABCA2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3	0	3	29	0	0	0	0	0	0	1093	407	79	0
ABCA4	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA5	0	0	0	0	1	0	0	0	0	0	125	0	1
ABCA6	0	0	0	0	0	0	0	0	0	15	0	0	0
ABCA7	0	1	0	0	13	0	0	51	0	2	198	3	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	27	1	3	43	10	11	31	13	7	58	0	96	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	1	0	0	0	1	0	0
ABCB5	0	0	0	0	18	0	0	2	0	0	0	0	180
ABCB6	234	8	39	1	22	8	1882	185	133	0	454	558	654
ABCB7	0	1	108	1	62	267	639	57	7	1	4	2	507
ABCB8	0	16	188	288	74	159	674	564	416	1673	507	95	1007
ABCB9	0	0	0	0	0	0	0	63	0	0	0	0	0
ABCC1	0	0	78	0	22	19	0	8	0	0	7	0	0
ABCC10	74	1	22	69	8	184	0	50	64	0	44	1	681
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	1	0	1	1	0	0	1
ABCC2	0	0	50	0	18	0	8	190	1	216	266	0	734
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	148	1	284	158	11	0	280	0	86	45	0	694	0
ABCC5	176	0	97	142	18	223	573	30	1	0	0	440	75
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	0	0	0	97	0	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	26	1	1	78	15	27	724	0	1	0	57	263	570
ABCD4	44	0	200	159	91	0	1903	0	0	0	212	198	0
ABCE1	87	2	96	155	28	120	1353	37	78	585	43	245	47
ABCF1	534	34	221	1441	159	319	2628	556	274	2876	428	908	1544
ABCF2	463	3	97	914	30	200	2679	169	220	1239	0	542	785
ABCF3	12	8	149	673	82	1092	2256	212	374	2	239	261	115
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	659	2	0	905	17	0	3331	58	139	1	11	611	0
ABCG4	0	0	0	0	0	0	0	0	0	0	2	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	22	0	0	0	0	0	0	0	0	0	1	0	0
ABHD10	78	0	79	43	12	89	241	26	28	761	0	0	0
ABHD11	172	1	0	274	64	0	1931	96	1	1476	0	226	607
ABHD12	944	21	118	1	61	112	2142	247	83	501	270	222	1
ABHD12B	0	5	68	45	29	114	160	52	173	1010	14	97	164
ABHD13	13	1	30	1	7	50	9	9	3	0	14	102	227
ABHD14A	0	0	0	0	0	52	0	0	0	437	0	61	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	22	0	0	149	0	0	545	29	1	1	0	0	0
ABHD15	0	1	4	142	4	139	630	127	0	0	36	0	1
ABHD16A	0	7	186	27	112	52	147	118	0	0	42	34	991
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	9	0	0	0	0	0	0	0	1	0	0	6	0
ABHD17B	52	0	47	25	4	3	177	62	83	96	103	98	0
ABHD17C	105	0	19	140	1	80	1009	77	55	192	0	145	0
ABHD2	20	1	77	59	27	49	542	17	41	70	87	322	261
ABHD3	3	0	49	146	17	0	298	28	0	894	3	83	631
ABHD4	38	0	0	4	0	0	931	0	0	0	2	47	0
ABHD5	163	2	58	269	49	72	2101	5	67	0	0	197	937
ABHD6	28	3	11	1	10	0	29	0	0	0	0	267	0
ABHD8	0	1	0	0	0	0	58	0	0	0	0	1	0
ABI1	60	5	82	10	129	147	980	102	60	698	140	168	445
ABI2	8	0	109	22	15	36	391	128	1	278	1	25	2
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	0	0	11	0	0	0	0	0	0	0	0	0	0
ABL1	10	0	109	95	87	54	0	144	0	1671	0	6	188
ABL2	220	3	217	122	30	78	543	80	95	2437	76	105	354
ABLIM1	1	1	70	0	0	0	0	0	0	0	0	0	452
ABLIM2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	13	0	0	32	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0	0	62
ABR	218	6	158	1080	147	176	1170	102	0	2891	108	329	150
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	74	0	96	243	20	48	1343	115	4	452	4	140	120
ABT1	140	11	364	497	246	224	4849	468	169	2892	1316	939	1688
ABTB1	0	1	0	0	2	0	0	0	0	0	1	0	0
ABTB2	21	1	1	40	1	64	0	221	0	1	247	0	0
AC093375.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA1	156	8	108	26	71	662	2010	309	3	1799	26	168	0
ACAA2	211	14	922	729	197	962	7010	637	508	2874	635	1239	2111
ACACA	246	0	191	500	4	10	4075	32	216	1221	478	439	956
