A1BG	38	15	0	19	0	5	0	332	17
A1BG-AS1	0	0	0	0	0	0	0	0	5
A1CF	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0
A3GALT2	17	5	0	11	0	0	0	0	0
A4GALT	619	520	436	317	395	624	712	730	546
A4GNT	3	0	0	0	0	1	0	2	0
AA06	0	0	0	0	0	0	0	0	0
AAAS	216	77	197	111	122	114	257	259	239
AACS	14	21	0	0	0	0	145	0	89
AACSP1	0	0	0	41	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	52	0
AADACL3	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	36	0	0	0
AAED1	74	9	50	48	99	35	81	135	15
AAGAB	3	133	9	99	50	113	141	1	230
AAK1	478	149	134	132	168	251	167	34	107
AAMDC	255	157	392	475	112	181	406	1175	300
AAMP	348	283	389	287	265	233	502	877	325
AANAT	0	0	0	0	0	0	0	0	0
AAR2	211	127	370	103	339	111	234	835	361
AARD	0	0	16	0	0	1	0	0	17
AARS	139	57	335	82	341	47	181	325	155
AARS2	719	278	164	663	221	230	397	4	415
AARSD1	0	1	4	1	2	0	3	36	3
AASDH	225	127	62	0	118	52	235	215	88
AASDHPPT	51	200	260	387	130	151	300	0	232
AASS	138	53	53	55	77	8	0	0	0
AATF	55	214	233	368	411	179	170	790	336
AATK	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0
ABAT	0	34	0	0	0	7	0	0	52
ABCA1	0	0	0	19	56	34	25	0	18
ABCA10	29	33	0	0	0	2	0	0	15
ABCA11P	42	36	21	15	14	8	49	0	29
ABCA12	0	0	0	0	0	0	5	0	0
ABCA13	4	0	0	0	26	33	23	0	51
ABCA17P	543	230	432	259	222	259	160	2068	270
ABCA2	8	0	0	0	0	1	0	0	0
ABCA3	102	4	0	0	0	0	0	0	5
ABCA4	0	0	0	0	0	9	0	0	0
ABCA5	1	0	31	67	0	2	0	0	0
ABCA6	23	0	0	0	0	0	0	0	1
ABCA7	0	0	0	1	42	0	0	0	23
ABCA8	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	10	0	0	0
ABCB1	0	0	0	0	5	0	0	0	0
ABCB10	83	113	128	101	73	106	233	0	111
ABCB11	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0
ABCB5	8	0	0	0	34	2	0	0	7
ABCB6	37	50	3	90	0	29	0	239	25
ABCB7	112	29	105	93	54	37	0	0	18
ABCB8	145	85	168	9	74	96	130	0	226
ABCB9	29	12	10	0	37	0	0	0	3
ABCC1	253	43	64	0	16	61	0	0	6
ABCC10	237	0	69	0	46	0	0	0	0
ABCC11	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0
ABCC13	0	8	0	43	0	0	0	0	0
ABCC2	0	17	0	0	0	0	5	0	45
ABCC3	0	0	0	0	0	5	0	0	0
ABCC4	94	60	0	0	76	48	1	1	164
ABCC5	221	134	53	456	286	331	122	1454	395
ABCC5-AS1	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	43	22	2	0	0	0
ABCC6P1	0	0	0	0	0	1	0	0	2
ABCC6P2	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0
ABCC9	2	0	0	0	0	0	0	0	0
ABCD1	0	0	0	0	0	23	47	0	0
ABCD2	0	0	0	0	0	0	0	0	0
ABCD3	185	74	235	58	57	120	7	0	194
ABCD4	61	38	89	29	9	27	78	1	14
ABCE1	365	330	681	109	255	215	966	333	483
ABCF1	2320	1497	946	1559	1010	1109	2702	2421	1880
ABCF2	1440	744	864	1167	726	640	1362	3342	1119
ABCF3	68	144	113	187	62	295	81	26	158
ABCG1	0	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0
ABHD1	4	0	0	0	1	16	0	0	0
ABHD10	37	14	3	0	0	11	0	0	120
ABHD11	15	112	90	171	128	110	114	463	11
ABHD12	122	89	95	86	107	93	109	0	109
ABHD12B	0	76	284	98	14	55	16	0	95
ABHD13	21	73	69	76	47	47	155	53	139
ABHD14A	0	0	0	0	0	0	0	0	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0
ABHD14B	298	149	106	195	122	250	47	0	385
ABHD15	186	79	1	166	185	197	207	0	3
ABHD16A	81	23	17	32	25	95	100	0	52
ABHD16B	41	0	0	0	0	0	0	0	0
ABHD17A	3	11	2	1	7	4	19	4	3
ABHD17B	135	58	142	57	76	0	49	0	81
ABHD17C	252	189	171	283	259	110	219	99	202
ABHD2	20	72	97	142	115	62	257	157	72
ABHD3	120	123	489	116	278	189	179	352	298
ABHD4	0	0	0	0	0	0	0	0	0
ABHD5	14	95	64	130	162	138	0	27	68
ABHD6	2	24	0	20	54	172	1	0	20
ABHD8	0	9	0	0	0	0	0	0	0
ABI1	176	219	252	106	113	193	499	0	146
ABI2	61	142	30	0	64	5	10	1	79
ABI3	0	0	0	0	1	2	0	0	0
ABI3BP	6	0	0	0	0	0	6	0	0
ABL1	98	59	97	27	12	63	20	0	53
ABL2	199	163	181	98	123	60	169	106	117
ABLIM1	30	86	85	0	90	0	3	0	0
ABLIM2	0	0	0	0	0	0	0	0	0
ABLIM3	0	0	0	0	0	0	6	0	0
ABO	0	0	0	0	0	1	0	0	0
ABR	98	48	4	4	1	174	230	418	60
ABRA	0	25	0	0	0	0	0	0	0
ABRACL	692	156	92	507	478	51	110	138	300
ABT1	593	308	859	246	655	622	1046	2069	1032
ABTB1	33	9	0	8	0	75	0	0	36
ABTB2	179	111	246	85	83	71	68	18	43
AC093375.1	0	9	0	4	0	14	0	0	3
ACAA1	24	20	65	9	22	44	17	0	12
ACAA2	180	144	106	454	239	249	1065	300	370
ACACA	219	237	214	187	162	66	50	214	254
ACACB	0	22	0	69	0	71	0	0	0
ACAD10	15	34	16	0	116	10	37	72	23
ACAD11	0	0	0	0	0	0	0	0	0
ACAD8	64	72	66	72	21	20	12	152	42
ACAD9	201	111	165	29	68	40	118	421	134
ACADL	0	0	0	0	0	0	0	0	0
ACADM	1	42	125	0	4	9	0	0	22
ACADS	53	57	13	5	0	44	0	0	12
ACADSB	29	21	0	0	0	16	0	0	31
ACADVL	46	27	33	69	3	100	2	1	35
ACAN	0	0	0	0	0	0	0	0	0
ACAP1	25	14	4	0	0	0	0	0	14
ACAP2	129	279	41	158	242	198	69	262	36
