A1BG	0	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	104	4	0	62	1	0
A2MP1	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0
A4GALT	524	199	287	496	2160	514	746	998	113
A4GNT	0	0	0	5	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0
AAAS	81	44	120	847	569	141	320	152	42
AACS	215	3	26	4	121	44	83	0	6
AACSP1	0	0	0	0	0	0	0	0	0
AADAC	0	2	0	0	8	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0
AADACL2-AS1	12	0	0	37	1	0	13	0	0
AADACL3	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0
AADACP1	0	2	0	0	0	0	0	0	0
AADAT	28	0	10	100	106	0	1	63	15
AAED1	0	0	0	0	4	20	61	0	0
AAGAB	90	64	117	1190	618	148	702	104	67
AAK1	483	368	78	447	899	70	830	548	31
AAMDC	73	79	71	238	269	237	45	214	21
AAMP	267	369	125	1145	1162	221	1310	847	170
AANAT	0	0	0	0	0	0	0	0	0
AAR2	85	129	65	484	0	278	846	743	70
AARD	0	0	0	0	0	0	25	0	0
AARS	66	124	112	293	1202	42	807	406	108
AARS2	206	14	55	112	478	1	163	185	1
AARSD1	2	2	3	8	2	4	10	15	5
AASDH	69	21	14	48	155	40	20	119	35
AASDHPPT	73	75	80	513	162	91	691	110	21
AASS	0	15	3	0	94	13	0	1	0
AATF	139	183	142	1200	729	198	515	466	131
AATK	0	0	0	0	0	1	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0
ABAT	0	1	0	0	0	0	0	0	0
ABCA1	1	0	12	0	0	0	4	0	1
ABCA10	0	0	0	0	0	0	0	0	0
ABCA11P	19	3	16	16	73	4	5	22	4
ABCA12	0	2	0	0	0	0	4	0	0
ABCA13	37	3	0	0	0	0	42	15	0
ABCA17P	0	0	0	0	0	0	39	14	0
ABCA2	0	0	0	0	0	0	0	0	0
ABCA3	0	0	0	0	0	0	0	0	0
ABCA4	0	0	27	0	0	0	0	0	11
ABCA5	18	0	0	14	1	0	12	0	25
ABCA6	0	0	0	0	0	0	0	0	0
ABCA7	0	0	1	0	0	0	0	0	0
ABCA8	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0
ABCB10	206	128	32	232	110	82	102	113	15
ABCB11	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	87	0	0	0	0	0
ABCB5	0	0	0	0	0	0	1	0	1
ABCB6	136	113	24	272	363	107	43	28	98
ABCB7	37	25	14	149	117	68	76	112	17
ABCB8	112	153	52	366	1263	69	281	607	62
ABCB9	0	0	0	0	0	2	0	1	0
ABCC1	0	0	0	0	0	0	0	0	0
ABCC10	0	9	0	45	79	0	50	0	0
ABCC11	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	27	1	0	0	0	0
ABCC2	0	2	4	0	1	1	0	0	0
ABCC3	0	0	0	0	0	0	0	0	0
ABCC4	19	32	73	285	234	122	323	107	0
ABCC5	5	2	18	85	142	0	309	33	2
ABCC5-AS1	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0
