A1BG	0	0	0	0	0	26	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	30	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	614	345	790	1344	446	1491	31	3285	134	252	298	390
A4GNT	0	0	0	0	28	0	1	1	0	0	5	2
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	163	147	325	1015	200	810	335	2	57	155	89	235
AACS	64	445	188	356	14	72	207	153	117	4	43	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	2	0	0	0	0	0
AADACL2	0	0	0	0	0	6	3	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	31	1	8	0	0	0
AADACL3	0	17	0	0	81	0	54	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	31	0	0	0	8	241	97	0	0	0	0	122
AAED1	0	0	1	49	0	28	0	0	0	0	0	0
AAGAB	182	9	179	165	523	368	178	20	0	180	109	106
AAK1	86	25	159	111	76	247	694	1038	19	49	107	91
AAMDC	27	339	30	146	130	180	114	813	186	180	139	218
AAMP	758	569	572	1390	737	1097	1368	1427	144	231	774	542
AANAT	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	232	0	1	543	230	82	123	1	204	83	0	341
AARD	0	0	0	0	0	0	1	0	0	0	0	0
AARS	299	45	139	901	330	677	560	444	2	29	324	588
AARS2	27	135	148	51	117	105	89	403	141	56	90	274
AARSD1	1	3	0	14	0	2	6	0	0	4	1	8
AASDH	0	152	71	38	42	73	151	0	0	2	36	0
AASDHPPT	48	83	80	247	149	304	68	163	191	255	187	505
AASS	0	0	1	0	6	0	0	0	1	1	0	0
AATF	634	27	531	436	110	404	420	960	317	12	331	385
AATK	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	0	0	0	5	0	0	0	1	0	0	13
ABCA1	0	184	0	0	212	35	0	0	51	58	89	603
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	16	0	1	134	18	4	43	0	3	13	0	2
ABCA12	0	0	0	0	0	0	0	12	0	0	0	0
ABCA13	58	0	1	0	0	104	92	451	0	0	0	3
ABCA17P	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0	1	0	0	0	0
ABCA3	0	28	0	0	0	28	0	0	0	0	0	21
ABCA4	0	0	0	0	0	4	61	0	0	0	0	0
ABCA5	0	0	0	0	0	0	0	0	0	0	0	71
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	2	0	24	0	17	0	18	0	0	1	0	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	1	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	52	0	74	221	122	117	3	449	42	64	0	48
ABCB11	0	0	1	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	1	0	0	10	0	0	0	0	0	0
ABCB6	109	136	589	0	105	371	87	1595	38	0	2	223
ABCB7	17	146	22	277	392	259	151	135	73	153	72	296
ABCB8	127	0	175	153	184	92	247	935	0	102	149	189
ABCB9	0	0	0	0	0	53	0	0	0	0	0	0
ABCC1	0	3	152	0	0	0	0	0	14	0	106	3
ABCC10	20	48	2	0	73	20	0	0	22	111	23	149
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	1	0	0	0	0
ABCC13	0	0	0	67	0	0	0	0	0	0	0	101
ABCC2	0	2	24	0	371	124	1	92	54	151	0	225
ABCC3	0	0	0	0	7	0	0	0	0	0	0	0
ABCC4	433	0	59	6	0	591	46	151	0	1	1	52
ABCC5	38	0	4	0	105	417	277	225	45	74	143	0
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	4	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	1	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	9	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	28	0	0	0	0	0	20	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	37	48	150	153	0	55	162	157	236	9	0	196
ABCD4	1	0	4	279	224	37	209	135	0	59	0	0
ABCE1	355	526	193	559	288	573	339	633	625	211	231	332
ABCF1	511	521	974	1343	554	938	496	1277	428	514	342	523
ABCF2	190	85	291	1319	537	1130	917	329	96	381	334	647
ABCF3	110	189	78	0	264	418	293	1565	18	198	78	997
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	55	1	348	2279	35	799	963	530	0	2	1	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	1	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	1	0	1	0	0	2	0	0	0	30
ABHD10	93	0	14	89	63	9	84	75	133	1	46	129
ABHD11	302	197	447	1287	321	697	871	1309	504	190	382	350
ABHD12	236	121	373	224	32	112	432	32	27	91	119	132
ABHD12B	47	0	56	263	350	114	69	0	147	52	267	289
ABHD13	1	0	0	87	42	139	93	0	0	80	54	50
ABHD14A	0	0	16	78	0	0	0	0	0	0	1	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	0	1	0	5	0	237	141	0	0	0	0	99
ABHD15	21	1	0	1	77	55	0	0	84	13	0	84
ABHD16A	2	0	175	59	6	94	212	0	98	24	2	70
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	0	5	4	0	1	1	0	0	0	0	0	0
ABHD17B	92	76	54	0	74	5	45	122	54	5	1	39
ABHD17C	105	3	113	80	0	107	89	238	0	0	21	0
ABHD2	82	25	170	191	89	325	70	218	26	54	70	19
ABHD3	19	31	2	0	126	46	100	0	0	15	0	23
ABHD4	0	0	1	0	0	191	435	12	0	0	0	0
ABHD5	66	258	110	183	51	230	310	2	58	9	305	0
ABHD6	2	18	0	0	0	83	55	1	370	0	0	55
ABHD8	0	0	0	37	0	17	9	0	1	0	0	0
ABI1	65	0	124	0	373	135	389	364	288	256	153	181
ABI2	5	170	140	0	78	0	94	0	1	116	51	151
ABI3	0	0	0	0	0	1	0	0	0	0	0	0
ABI3BP	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	224	23	53	0	1	121	225	1	0	94	52	0
ABL2	144	28	27	118	0	61	0	438	0	162	95	84
ABLIM1	0	0	0	0	0	0	25	0	0	0	0	0
ABLIM2	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	0	10	0	0	1	0	0	0	19	0	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0	0
ABR	57	155	96	0	106	29	13	24	41	61	180	242
ABRA	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	260	0	179	177	0	500	385	573	3	400	63	105
ABT1	754	201	517	1578	863	1015	861	826	310	596	535	1188
ABTB1	0	0	0	0	0	0	0	0	0	0	0	0
ABTB2	34	0	0	0	4	0	2	1	76	40	334	223
AC093375.1	0	0	0	0	0	5	0	0	0	10	8	0
ACAA1	501	475	191	195	271	457	280	353	6	4	258	0
ACAA2	162	580	392	720	649	310	1077	427	582	210	354	993
ACACA	129	220	314	548	200	515	132	1968	151	327	690	85
ACACB	0	0	0	0	42	0	0	2	0	0	0	79
ACAD10	14	0	0	0	0	0	2	0	7	1	10	0
ACAD11	0	0	0	0	11	0	0	0	0	0	35	0
ACAD8	15	0	0	205	97	239	216	1	0	86	92	161
ACAD9	178	24	55	784	117	167	947	1645	212	286	175	59
ACADL	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	38	181	114	240	171	200	564	635	190	240	48	129
ACADS	61	192	95	10	121	215	136	0	46	4	38	139
ACADSB	1	0	1	58	63	59	92	0	0	0	91	17
ACADVL	98	4	68	21	107	483	75	940	0	11	157	533
ACAN	0	7	0	0	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0	0	0	0	0	0
ACAP2	58	55	0	35	154	190	42	445	11	76	205	54
ACAP3	0	0	1	0	0	31	0	162	0	1	0	0
ACAT1	87	176	83	312	90	348	472	1925	137	80	0	69
ACAT2	2362	1702	1137	4954	2194	3555	2444	6768	459	506	1338	774
ACBD3	32	109	0	82	53	124	30	16	0	35	8	117
ACBD4	0	0	0	0	0	0	0	0	0	0	0	0
ACBD5	0	0	0	45	0	0	56	134	89	20	0	132
ACBD6	0	78	98	0	0	65	55	487	90	0	1	0
