A1BG	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	4	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	1	0	2	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	4	0	0	0	0	0	3	2	0	0	0	0	0
A4GALT	113	208	124	192	122	353	122	379	336	227	207	352	295	148
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	82	106	119	117	121	233	117	117	149	182	134	225	122	25
AACS	0	0	1	19	0	9	0	27	12	1	0	32	50	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	9	2	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	6	0
AADACL2-AS1	0	0	0	0	8	0	0	0	0	0	0	3	11	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	11	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	43	0	0	0	67	0	19	0	3	9	0	2	0
AAED1	0	0	0	0	0	0	0	0	0	0	0	0	32	0
AAGAB	7	60	27	25	17	56	28	95	96	43	187	54	44	17
AAK1	20	72	34	11	15	220	43	35	63	22	64	84	51	4
AAMDC	52	80	14	54	21	134	23	44	32	20	117	101	165	74
AAMP	389	321	73	126	86	572	49	375	601	261	544	653	461	189
AANAT	0	0	0	0	0	0	0	0	0	0	0	5	0	0
AAR2	29	55	0	46	3	78	0	78	59	52	88	65	53	33
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	3	185	33	65	37	74	34	104	16	85	50	144	10	7
AARS2	269	199	347	69	175	697	339	148	71	352	395	204	311	52
AARSD1	0	1	0	2	0	0	0	0	3	0	5	3	3	0
AASDH	24	19	7	2	37	48	3	67	41	102	26	34	44	0
AASDHPPT	99	117	0	30	32	180	2	88	102	39	147	128	228	4
AASS	7	0	0	1	0	60	0	8	12	0	0	22	0	8
AATF	81	137	18	112	100	217	11	353	164	166	282	376	238	93
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABAT	0	0	0	0	0	1	0	0	0	0	0	0	0	2
ABCA1	48	30	0	18	21	111	0	26	0	23	173	6	241	36
ABCA10	0	0	10	0	0	0	4	0	6	0	0	0	0	0
ABCA11P	0	8	0	0	0	0	0	6	8	0	5	1	0	0
ABCA12	0	0	1	1	0	0	0	5	0	0	3	0	0	0
ABCA13	0	0	0	0	4	15	0	1	15	0	50	0	0	4
ABCA17P	0	4	0	0	0	15	0	0	4	0	12	4	0	0
ABCA2	0	0	0	0	0	10	0	0	0	0	0	9	0	0
ABCA3	0	13	0	0	2	0	0	0	2	0	0	0	1	0
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	8	0	0	7	4	0	0	8	20	1	0	19	22	8
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	17	0	0	0	0	0	0	0	0
ABCB10	8	91	17	0	6	27	14	17	50	29	4	45	59	2
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ABCB5	0	25	5	0	0	0	6	0	0	2	6	1	0	2
ABCB6	4	30	34	26	12	61	30	42	83	29	3	69	62	0
ABCB7	58	240	15	55	21	82	16	19	58	14	161	127	55	44
ABCB8	68	202	47	35	70	77	52	151	91	74	203	132	295	63
ABCB9	0	0	0	0	0	1	0	3	0	0	0	0	0	0
ABCC1	33	23	0	1	0	55	0	8	0	0	48	0	109	0
ABCC10	31	62	48	26	18	38	57	67	4	25	79	101	1	14
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	17	0	0
ABCC13	5	0	1	16	0	56	0	17	15	0	26	3	18	40
ABCC2	5	9	11	19	0	9	10	7	5	39	0	33	0	1
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
