A1BG	11	0	0	0	6	1	0	0	6	0	0	2	0	0	9	10	3	0	13	23	0	0	0	0	15	27	0	15	0	1	0
A1BG-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	23	16	8	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	101	226	257	11	216	97	249	36	14	135	164	539	15	221	117	281	654	77	610	142	95	85	190	56	178	162	660	83	48	174	418
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	193	34	124	4	65	105	34	17	24	11	5	65	0	40	53	133	215	80	140	93	142	13	120	53	3	174	195	43	22	4	131
AACS	68	44	88	2	55	0	32	17	35	56	5	66	2	60	74	66	168	1	169	42	36	106	49	2	21	1	45	34	0	92	1
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	19	0	0	0	0
AADACL2-AS1	4	0	0	0	1	0	0	1	0	0	0	4	0	2	0	0	2	2	0	0	0	0	0	0	0	24	10	0	0	0	0
AADACL3	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
AADAT	49	5	17	3	8	6	0	0	0	6	0	21	0	6	0	8	29	1	54	23	17	48	0	7	29	94	67	19	1	0	0
AAED1	23	5	28	0	0	32	7	1	0	0	25	13	0	11	9	34	35	4	32	13	0	2	69	7	0	64	16	16	0	18	2
AAGAB	165	82	226	14	221	41	155	40	8	147	90	176	5	104	161	174	533	97	185	159	19	148	228	90	45	516	172	59	1	250	360
AAK1	550	122	338	13	187	71	210	70	82	48	130	445	17	193	115	292	668	137	565	224	158	186	196	73	257	261	581	307	78	234	220
AAMDC	25	3	5	3	17	40	1	6	7	2	29	0	0	8	5	3	2	0	1	1	24	3	0	8	9	0	0	3	8	0	45
AAMP	1004	496	1028	67	1539	411	863	168	167	850	1051	949	31	593	587	795	3697	172	1972	986	483	534	1052	332	593	1770	1739	270	141	182	811
AANAT	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	2	0
AAR2	239	110	203	7	214	54	144	41	19	391	167	262	9	88	108	229	775	32	271	279	81	64	163	71	113	915	275	104	3	1	129
AARD	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0
AARS	305	150	335	22	331	120	178	47	97	165	185	392	12	156	196	410	735	118	543	439	256	50	288	113	196	849	412	113	21	519	174
