A1BG	41	76	40	23	0	0	11	0	67	96	0	0	40	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	19	0	0	28	0	0
A1CF	0	134	0	0	0	0	0	0	0	1	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
A2M-AS1	0	0	0	12	0	0	0	0	0	0	13	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	11	0	0	8	0	0	11	0	0	0
A4GALT	428	533	394	685	10	330	129	546	1375	1033	312	771	475	575	227
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	392	646	243	263	96	601	348	296	1361	1516	551	636	265	477	1
AACS	0	44	36	0	114	14	0	0	0	16	0	0	42	0	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	157	25	60	0	0	0	0
AAED1	4	17	0	86	0	23	10	0	0	0	0	0	32	0	0
AAGAB	122	512	95	8	2	0	48	0	9	721	372	174	197	0	612
AAK1	80	196	38	47	5	15	26	38	69	203	99	48	110	125	244
AAMDC	212	253	187	392	87	0	119	157	408	674	186	561	534	118	51
AAMP	1454	2851	1497	844	2129	708	563	1002	2598	4315	1474	860	1362	728	1414
AANAT	0	0	0	0	0	0	10	0	0	6	0	0	0	0	0
AAR2	159	399	273	265	239	192	278	351	251	1285	382	244	806	0	507
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	150	346	61	80	317	0	4	0	223	247	129	0	290	0	0
AARS2	309	30	292	200	142	196	96	0	520	911	282	217	254	127	329
AARSD1	8	17	2	5	8	5	4	0	0	15	16	9	2	0	9
AASDH	9	132	39	11	0	0	20	0	73	251	0	0	16	0	290
AASDHPPT	18	181	147	95	193	267	126	12	132	475	179	183	161	109	343
AASS	0	0	65	0	0	0	2	0	4	2	34	22	0	0	0
AATF	305	822	248	218	423	247	338	754	860	1378	747	693	839	195	394
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	0	45	0	0	16	48	0	63	29	144	8	79	0	0
ABCA1	3	0	0	0	0	0	5	0	0	0	0	0	0	0	1
ABCA10	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
