A1BG	4	0	0	0	0	1	0	0	18	0	0	0	0	0	0	0	1	0	8	0	14	12	3	0	0	0	4	0	0	0	2	5	2	2	0	0	4	8
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	1	3
A1CF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	7	0	55	0	77	0	0	0	7	0	0	0	0	0	0	0	0	3	0	1	0	0	19	1	0	7	1	5	7	0	36	0	0	1	20	6	9	1
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	243	44	301	73	345	80	29	313	217	183	3	163	667	145	106	85	84	108	1651	655	655	530	299	455	153	119	244	68	85	21	625	1300	138	445	431	395	437	1230
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	375	47	394	90	653	176	70	88	379	31	35	188	319	52	37	82	107	58	938	449	679	345	280	585	319	200	289	142	201	47	672	680	231	226	137	287	324	638
AACS	1	1	161	24	94	48	5	1	111	0	0	6	0	17	13	1	20	8	271	85	59	34	59	7	52	6	28	21	32	4	188	111	36	141	33	60	127	264
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AADACL2-AS1	0	0	3	1	11	0	0	0	0	0	0	0	0	0	0	3	0	0	10	1	9	1	3	17	5	2	5	2	0	0	5	10	2	7	3	0	2	15
AADACL3	21	0	0	0	0	0	133	0	0	0	10	0	0	0	0	0	0	0	10	0	0	2	8	51	0	0	0	0	0	37	17	0	0	16	16	0	5	21
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9
AADAT	115	0	13	1	78	12	29	0	0	0	0	0	64	0	1	30	0	18	109	55	8	37	60	103	157	4	103	70	17	30	56	77	42	45	45	29	34	102
AAED1	0	0	21	0	0	7	1	55	0	0	0	0	0	1	0	19	5	0	0	9	0	1	7	26	0	7	0	0	3	0	0	11	2	4	3	2	8	15
AAGAB	634	29	248	72	683	177	170	17	101	26	0	41	735	41	42	97	55	42	590	262	288	219	211	404	278	271	281	199	197	21	531	781	147	232	72	179	265	403
AAK1	246	58	158	46	244	23	13	19	107	26	100	67	47	12	18	50	25	29	287	130	169	80	113	60	58	20	83	40	83	21	164	460	110	93	64	218	101	228
AAMDC	5	0	28	0	99	12	0	0	5	0	0	0	0	0	0	28	7	7	63	20	33	24	33	44	47	0	21	11	22	37	21	66	32	25	10	20	9	52
AAMP	2389	174	1863	383	2491	642	407	501	876	186	334	365	1821	178	218	325	124	259	3714	1852	2075	1764	1209	2088	1410	863	1020	524	962	27	2689	2872	1530	1276	961	810	1273	2535
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AAR2	414	214	395	28	385	99	1	269	31	48	69	1	443	1	0	29	60	62	690	172	367	331	234	512	221	207	166	174	312	114	473	686	239	226	202	143	162	505
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	10	4	0	0	0
AARS	955	181	1809	246	1718	219	150	300	764	103	145	366	1173	89	112	167	126	192	2745	1367	1890	738	845	1120	947	588	933	448	505	87	2009	1666	1028	551	490	465	1320	1808
AARS2	112	10	45	20	109	0	0	0	7	0	0	49	65	0	0	7	2	8	106	129	171	83	28	26	70	50	82	25	9	5	50	268	3	55	31	23	30	106
AARSD1	23	0	20	5	16	5	4	3	4	0	0	3	13	1	0	0	0	0	39	8	16	11	8	18	6	4	5	7	6	4	16	12	10	10	5	1	10	14
AASDH	57	5	37	25	70	26	1	35	2	5	2	0	122	7	2	29	0	14	147	64	37	42	27	132	61	27	44	34	44	6	107	69	87	105	54	30	31	99
AASDHPPT	643	38	341	76	474	113	37	246	193	11	90	67	516	76	30	102	34	47	477	268	292	171	194	448	233	163	162	97	174	142	599	465	206	277	163	182	322	521
