A1BG	87	90	0	140	0	21	15	0	24	49	278	135	82	32
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	4	0	0
A1CF	0	43	0	0	0	0	0	0	0	4	0	17	0	0
A2M	0	0	0	0	0	0	0	0	0	38	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	1	0	0	0	0	15	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A4GALT	985	496	398	1252	324	25	474	90	597	342	587	478	1260	523
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	691	414	323	515	434	105	486	128	403	370	192	456	2260	941
AACS	443	74	0	95	0	203	16	0	119	123	489	0	0	0
AACSP1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	35	0	0	0	7	0	11	0	0	0	0	0
AADACL3	0	41	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	144	0	4	0	0	0	4	0	0	0	1	0	0	0
AAED1	6	0	2	0	0	0	10	0	0	0	0	23	0	17
AAGAB	677	200	1102	618	245	0	176	183	61	490	78	328	437	495
AAK1	43	110	12	136	33	0	90	0	15	14	88	200	0	158
AAMDC	558	487	339	1168	158	123	212	38	349	2051	1369	622	922	330
AAMP	3560	2240	1986	2909	500	727	1700	211	2133	865	937	3997	1612	1581
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	855	1072	460	989	255	212	353	99	818	1729	796	683	937	378
AARD	1	0	15	0	0	0	1	0	0	0	0	10	0	0
AARS	324	457	653	281	315	642	253	0	363	55	209	204	43	140
AARS2	639	553	172	2	0	287	242	0	133	237	128	627	38	1
AARSD1	5	2	15	0	2	2	2	0	1	11	1	4	0	4
AASDH	0	230	23	0	60	0	31	0	48	137	16	108	70	119
AASDHPPT	176	502	664	556	77	169	216	197	360	235	21	561	206	277
AASS	0	322	0	43	0	222	38	0	0	0	0	1	0	0
AATF	972	1160	676	909	272	171	437	103	839	1612	894	1159	1658	387
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	55	0	0	0	0	0	0	0	12	104	0	43	0	0
ABCA1	0	0	0	0	0	0	6	1	0	0	169	0	0	0
ABCA10	0	0	0	1	0	0	3	0	0	0	0	0	0	0
ABCA11P	9	0	1	0	10	52	8	6	68	19	73	53	29	14
ABCA12	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ABCA13	0	149	0	0	0	0	32	0	33	5	0	5	0	0
ABCA17P	81	107	78	78	0	0	117	0	191	432	342	456	523	61
ABCA2	85	0	0	0	0	0	0	0	4	58	0	0	0	0
