A1BG	0	0	0	76	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	11	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
A2ML1	1	0	100	1	0	0	0	0	33	74	0	0	97	0	0	1	31	0	1	0	0	0	5	0	3	7	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	111	343	513	348	496	501	624	272	2	619	68	564	0	320	318	1028	125	896	403	119	413	395	240	125	183	160	14
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	421	355	0	328	144	336	43	157	3	103	87	198	144	294	205	4	189	569	29	96	38	0	83	19	118	0	0
AACS	0	0	1	0	230	14	9	0	86	2	0	3	0	0	0	1	29	0	110	32	27	75	198	0	0	141	1
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	43	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	64	0	2	0	0	0	185	0	11	0	0
AAED1	0	0	0	0	73	0	0	143	0	40	0	0	0	36	0	0	0	16	7	0	0	0	0	30	84	0	0
AAGAB	55	134	9	78	6	637	135	160	101	57	161	105	481	101	85	473	100	838	51	21	160	208	189	256	283	1011	85
AAK1	1304	744	395	344	711	709	1134	1197	736	608	334	554	1239	1251	276	809	229	763	1183	46	609	658	1813	623	1002	1265	24
AAMDC	290	0	0	0	101	0	0	109	0	1	0	0	0	97	44	0	0	3	0	0	0	0	0	0	98	13	0
AAMP	49	706	431	750	1282	742	501	1075	775	794	185	258	831	825	296	1208	553	350	868	123	874	1009	609	464	693	1919	304
AANAT	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AAR2	0	5	199	148	650	231	149	149	0	631	106	320	136	366	75	0	159	760	46	24	457	266	192	219	75	3	0
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	2467	238	628	337	1570	1406	1316	482	158	344	200	71	616	333	497	59	115	27	538	52	463	401	532	715	67	13	84
AARS2	291	98	0	14	45	0	25	1	0	0	8	3	9	63	40	287	0	0	24	0	0	272	192	346	3	9	0
