A1BG	338	499	662	283	479	569	575	446
A1BG-AS1	0	16	0	0	1	0	20	0
A1CF	1	44	8	0	43	1	0	11
A2M	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	9	0	0	0	0
A2ML1	6	25	0	3	0	0	0	3
A2MP1	0	0	0	0	0	0	0	0
A3GALT2	7	3	16	0	0	0	15	0
A4GALT	12	18	75	35	68	47	1	0
A4GNT	0	0	0	0	0	29	0	0
AA06	0	0	0	0	0	0	0	0
AAAS	190	72	61	44	1	0	0	123
AACS	13	0	0	75	0	0	0	0
AACSP1	0	0	0	0	77	0	54	100
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	1	18	1
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0
AADAT	8	0	0	0	0	25	0	0
AAED1	4	72	0	0	119	41	0	12
AAGAB	352	72	206	96	119	129	0	235
AAK1	93	48	33	122	77	37	90	88
AAMDC	38	161	9	56	105	153	389	105
AAMP	871	1947	1946	1001	459	907	1038	941
AANAT	0	0	0	0	0	0	0	0
AAR2	632	753	703	906	209	486	407	416
AARD	0	0	0	0	0	0	0	0
AARS	79	3	0	67	128	0	0	104
AARS2	0	0	0	0	15	0	1	2
AARSD1	1	2	1	9	0	3	1	9
AASDH	126	13	0	15	0	86	73	7
AASDHPPT	0	0	0	106	135	0	0	48
AASS	0	0	0	0	0	0	0	1
AATF	1186	891	1114	648	574	484	571	654
AATK	0	0	0	0	0	0	0	0
AATK-AS1	1	0	0	0	0	0	0	0
ABAT	0	0	64	0	0	76	0	11
ABCA1	54	61	42	0	46	0	0	0
ABCA10	0	0	0	1	1	0	0	0
ABCA11P	14	26	36	77	109	37	25	115
ABCA12	1	0	0	0	0	5	0	48
ABCA13	0	27	0	0	22	0	5	0
ABCA17P	86	200	164	242	158	224	274	242
ABCA2	0	0	0	4	0	0	0	0
ABCA3	0	36	4	4	0	0	1	0
ABCA4	0	0	4	0	0	0	0	0
ABCA5	137	0	13	0	0	52	62	0
ABCA6	0	0	0	0	0	0	0	0
ABCA7	30	0	0	0	50	0	0	5
ABCA8	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	10
ABCB1	0	86	22	33	0	19	0	0
ABCB10	68	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0
ABCB4	101	0	0	0	0	49	0	42
ABCB5	0	0	0	0	0	0	0	0
ABCB6	0	36	0	0	0	16	0	70
ABCB7	187	56	374	247	0	376	0	73
ABCB8	0	0	0	42	0	12	0	0
ABCB9	29	39	32	38	0	60	0	0
ABCC1	62	0	66	0	0	0	0	0
ABCC10	0	0	0	0	0	0	0	0
ABCC11	2	0	1	0	0	0	0	0
ABCC12	0	0	0	0	76	0	0	0
ABCC13	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	0	0
ABCC3	0	66	5	0	0	0	0	0
ABCC4	247	79	96	37	201	60	0	5
ABCC5	166	0	362	565	63	150	95	217
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	174	222	170	69	281	264	39	155
ABCC6P1	154	122	200	81	375	290	187	84
ABCC6P2	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0
ABCD1	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0
ABCD3	61	0	0	22	48	24	0	54
ABCD4	112	4	133	0	5	29	0	94
ABCE1	332	27	216	39	415	138	115	78
ABCF1	1518	2805	1851	1289	1283	1505	2175	1170
ABCF2	5409	3433	5581	4596	2376	3042	3810	2793
ABCF3	419	642	227	149	202	159	331	174
ABCG1	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0	0	0
ABCG4	0	0	84	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0
ABCG8	0	96	0	0	0	0	52	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	49	0	0	7	0	97	0	0
ABHD11	8	129	0	0	272	0	0	0
ABHD12	72	15	0	74	9	96	4	0
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	439	33	338	194	1	84	0	208
ABHD14A	0	0	0	0	0	0	0	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	0	0	0	74	0	5	0	3
ABHD15	0	95	0	0	0	1	0	0
ABHD16A	14	16	1	0	0	0	0	0
ABHD16B	1	0	0	0	0	0	0	0
ABHD17A	0	0	0	0	0	0	0	0
ABHD17B	96	39	24	0	0	32	0	115
ABHD17C	21	85	0	0	0	0	1	0
ABHD2	112	279	86	289	83	246	248	180
ABHD3	818	745	1018	1600	1138	707	688	976
ABHD4	0	0	0	0	0	0	0	0
ABHD5	0	86	0	114	49	0	0	0
ABHD6	0	0	0	0	0	0	0	0
ABHD8	0	70	38	3	20	16	0	0
ABI1	111	76	169	124	435	112	1	118
ABI2	108	86	100	132	0	136	0	50
ABI3	0	34	0	0	88	0	0	0
ABI3BP	1	54	88	0	8	1	0	37
ABL1	36	10	0	3	37	0	41	35
ABL2	96	179	1	362	105	229	206	148
ABLIM1	0	0	0	1	0	0	57	0
ABLIM2	21	4	0	11	0	0	0	0
ABLIM3	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0
ABR	2	150	64	313	3	14	4	157
ABRA	0	0	0	0	0	0	0	0
ABRACL	0	0	32	46	0	0	0	0
ABT1	2855	2989	4258	2386	1259	2862	2313	2908
ABTB1	0	46	0	0	0	0	0	38
ABTB2	134	142	0	153	45	0	65	57
AC093375.1	0	0	0	0	0	0	0	0
ACAA1	90	146	0	220	215	42	11	51
ACAA2	136	100	37	111	47	0	130	0
ACACA	20	0	0	17	0	8	0	24
ACACB	0	34	5	0	47	0	0	0
ACAD10	10	97	12	69	0	178	20	130
ACAD11	15	0	7	23	54	0	0	16
ACAD8	0	96	0	0	0	0	56	24
ACAD9	93	127	78	78	97	11	60	82
ACADL	0	0	0	0	0	0	0	0
ACADM	0	0	0	0	0	0	0	17
ACADS	0	95	0	0	0	0	0	10
ACADSB	407	573	635	408	308	183	862	448
ACADVL	1	15	0	74	0	2	0	20
ACAN	0	0	0	0	0	0	0	0
ACAP1	0	13	24	10	4	4	0	19
ACAP2	105	130	43	77	0	25	70	26
ACAP3	0	0	0	0	0	0	0	0
ACAT1	176	0	99	108	156	0	91	0
ACAT2	424	203	279	395	813	711	395	103
ACBD3	246	449	301	710	226	243	376	263
ACBD4	0	0	0	0	0	0	0	0
ACBD5	342	261	553	211	199	117	420	200
ACBD6	0	0	70	0	2	0	0	0
ACBD7	0	0	12	0	45	26	0	19
ACCS	45	0	0	0	0	0	0	0
ACCSL	53	74	94	93	1	166	253	320
ACD	76	74	0	88	41	0	86	125
ACE	1	0	0	0	0	0	0	0
ACE2	0	26	0	0	0	8	0	0
ACER1	0	0	0	0	0	0	0	0
ACER2	6	48	0	28	12	29	0	63
ACER3	34	7	59	0	0	0	234	0
