A1BG	0	0	0	5	0	10	0	0	0	0	0	20	0	0	2	0	3	0	0	0	39	0	0	5	6	0	0	0	0	22	9	0	0	0	0	0	0	14	0
A1BG-AS1	0	0	0	0	0	4	0	0	2	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
A1CF	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	115	0	0	0	0	0	83	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A2ML1	0	0	0	25	326	65	0	55	6	93	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	7	0	0	0	6	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	960	205	408	581	581	526	445	385	152	276	438	552	276	579	651	274	322	366	292	1194	401	325	2	180	66	196	657	205	403	740	648	877	486	719	240	1266	42	582	516
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
