A1BG	7	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0
A2M	0	0	10	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0
A4GALT	193	180	104	52	43	114	456
A4GNT	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0
AAAS	330	96	65	282	1	0	153
AACS	0	0	105	108	2	0	248
AACSP1	0	0	0	0	0	0	0
AADAC	0	7	1	0	0	0	0
AADACL2	0	0	0	0	0	0	0
AADACL2-AS1	0	0	6	0	0	0	0
AADACL3	34	31	0	0	0	46	0
AADACL4	0	0	0	0	0	0	0
AADACP1	0	1	0	0	0	0	0
AADAT	29	0	52	53	0	0	58
AAED1	0	0	0	0	0	0	0
AAGAB	51	96	41	241	7	14	110
AAK1	103	1417	54	1651	73	218	157
AAMDC	9	1	0	362	0	0	74
AAMP	508	630	37	2443	74	683	1111
AANAT	0	0	0	0	0	0	0
AAR2	0	20	0	285	0	0	310
AARD	0	0	0	0	0	0	0
AARS	73	223	43	634	1	354	547
AARS2	19	0	74	250	1	0	112
AARSD1	0	0	0	0	0	0	0
AASDH	132	45	28	64	0	32	10
AASDHPPT	16	42	30	252	20	2	294
AASS	37	0	0	157	15	48	135
AATF	47	269	4	351	12	131	170
AATK	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0
ABAT	0	0	7	0	0	0	0
ABCA1	144	30	97	1	8	279	15
ABCA10	0	0	0	0	0	0	0
ABCA11P	31	1	0	15	0	0	6
ABCA12	0	42	0	0	0	0	0
ABCA13	8	0	0	0	0	0	99
ABCA17P	17	0	0	0	0	0	0
ABCA2	0	20	0	0	0	0	0
ABCA3	0	0	0	0	0	0	0
ABCA4	10	0	0	0	0	4	26
ABCA5	0	1	0	0	0	0	48
ABCA6	0	0	0	0	0	0	0
ABCA7	0	110	1	89	0	0	25
ABCA8	0	0	0	0	0	0	0
ABCA9	0	0	1	0	0	0	0
ABCB1	0	0	0	0	0	0	0
ABCB10	0	3	32	422	15	34	14
ABCB11	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0
ABCB5	0	0	2	0	0	0	0
ABCB6	50	141	23	480	63	1062	258
ABCB7	65	73	28	147	0	4	311
ABCB8	0	0	0	181	3	0	35
ABCB9	4	0	0	0	0	0	0
ABCC1	0	2	0	0	0	0	0
ABCC10	0	6	12	106	0	48	20
ABCC11	0	0	0	0	0	0	0
ABCC12	0	0	0	1	0	0	0
ABCC13	0	0	0	0	0	0	0
ABCC2	0	1	468	226	0	0	0
ABCC3	0	0	0	0	0	0	0
ABCC4	85	652	10	3	66	596	347
ABCC5	88	248	158	714	0	0	331
ABCC5-AS1	0	0	0	0	0	0	26
ABCC6	0	12	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0
ABCD1	57	7	0	323	0	0	0
ABCD2	0	0	0	0	0	0	0
ABCD3	154	161	85	292	3	147	348
ABCD4	0	52	43	363	0	1	116
ABCE1	300	91	44	494	38	7	305
ABCF1	743	341	116	1932	72	203	579
ABCF2	316	199	2	445	9	74	673
ABCF3	79	67	151	731	40	36	379
ABCG1	0	0	0	120	0	0	0
ABCG2	442	388	203	202	50	915	843
ABCG4	0	0	0	0	0	0	0
ABCG5	0	16	0	0	0	0	0
ABCG8	0	4	0	0	0	0	0
ABHD1	0	7	0	1	1	0	0
ABHD10	3	44	3	0	0	0	87
ABHD11	77	104	0	126	21	39	431
ABHD12	76	316	80	533	12	65	216
ABHD12B	0	0	0	0	4	0	17
ABHD13	9	1	59	370	19	0	55
ABHD14A	22	0	0	0	0	0	39
ABHD14A-ACY1	0	0	0	0	0	0	0
ABHD14B	0	1	0	264	0	0	58
ABHD15	40	0	52	0	0	0	10
ABHD16A	90	101	36	106	6	3	28
ABHD16B	0	0	0	0	0	0	0
ABHD17A	11	9	6	6	4	0	3
ABHD17B	120	55	2	2	0	71	86
ABHD17C	10	22	49	0	10	0	117
ABHD2	100	45	19	78	16	31	28
ABHD3	0	26	1	185	7	6	6
ABHD4	10	0	93	148	0	0	0
ABHD5	325	52	83	691	23	42	174
ABHD6	59	86	89	347	3	0	56
ABHD8	6	0	0	0	0	0	40
ABI1	165	72	45	1025	5	0	376
ABI2	2	12	18	213	2	0	23
ABI3	0	0	0	0	0	0	0
ABI3BP	0	0	0	0	0	0	2
ABL1	29	89	0	128	10	0	168
ABL2	79	86	18	230	38	42	122
ABLIM1	0	5	0	0	0	0	28
ABLIM2	3	0	0	0	0	0	0
ABLIM3	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0
ABR	87	201	1	980	1	352	240
ABRA	0	0	0	0	0	0	0
ABRACL	40	6	0	790	8	9	107
ABT1	215	55	59	956	55	98	348
ABTB1	7	29	0	13	0	0	0
ABTB2	11	15	77	127	0	0	12
AC093375.1	0	0	0	27	0	0	0
ACAA1	162	157	29	1320	2	92	95
ACAA2	218	0	3	105	52	4	249
ACACA	37	81	0	351	37	383	129
ACACB	0	0	0	0	0	0	0
ACAD10	6	22	3	0	0	0	0
ACAD11	0	0	6	0	0	0	0
ACAD8	0	17	26	149	1	2	170
ACAD9	16	72	26	1179	5	16	213
ACADL	0	0	0	0	0	0	0
ACADM	168	70	70	191	30	3	132
ACADS	8	0	0	0	0	0	14
ACADSB	38	0	32	990	3	0	50
ACADVL	178	346	61	237	0	65	52
ACAN	0	0	0	0	0	0	0
ACAP1	0	0	0	33	0	0	0
ACAP2	121	259	1	189	69	2	255
ACAP3	4	68	0	32	2	95	24
ACAT1	180	145	0	234	12	35	364
ACAT2	45	0	0	523	3	32	442
ACBD3	210	92	15	204	42	26	272
ACBD4	0	0	0	13	0	0	0
ACBD5	25	77	0	396	0	77	110
ACBD6	114	129	19	261	0	84	39
ACBD7	0	1	0	0	0	0	0
ACCS	0	0	0	0	0	0	0
ACCSL	0	0	0	0	0	0	0
ACD	0	163	18	49	0	0	45
ACE	0	0	1	0	0	0	0
ACE2	0	1	20	198	0	151	105
ACER1	0	0	0	0	0	0	0
ACER2	56	10	0	16	0	37	0
