A1BG	0	0	2	0	8	0	0	0	0	6	0	0	20	5	4	0	0	0	21	11	0	6
A1BG-AS1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4
A1CF	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	15	0	0	3	0	0	0	10	117	0	0	68	0	0	12	0	0	15	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	372	132	191	93	347	184	367	362	261	446	829	254	267	362	191	10	562	391	234	183	217	470
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	92	53	28	109	123	185	260	143	66	74	449	169	148	127	85	0	192	65	75	58	68	77
AACS	35	41	18	35	0	75	23	38	0	23	134	33	111	0	26	0	67	0	0	58	80	32
AACSP1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AADACL2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	3	7	10	0	21	4	18	0	10	6	0	7	4	1	4	0	1	0	3	8	0	3
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	12	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	3	0
AADAT	128	46	0	0	24	23	68	5	0	0	39	11	11	0	2	30	16	11	0	0	0	0
AAED1	0	0	17	0	0	37	80	0	0	1	54	6	15	0	0	0	13	50	0	0	0	0
AAGAB	322	113	76	69	78	72	216	223	169	184	446	175	186	13	109	127	85	147	227	151	212	162
AAK1	210	79	76	91	296	136	332	410	73	163	475	191	351	335	98	92	90	383	127	382	389	238
AAMDC	24	0	11	0	9	0	53	17	0	0	30	0	6	0	0	13	0	8	0	15	0	7
AAMP	1235	414	429	207	513	996	1478	927	200	539	1761	671	836	844	427	276	726	389	660	1214	676	837
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	238	81	152	140	43	125	641	387	81	238	254	141	107	164	179	124	106	258	237	202	114	262
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	233	240	298	544	304	171	800	589	112	323	1133	331	213	199	296	11	519	320	308	60	181	276
AARS2	18	29	1	10	42	5	162	10	21	71	169	75	55	41	40	0	42	66	11	29	34	30
AARSD1	4	2	2	0	0	7	1	2	0	4	4	0	2	5	2	0	5	0	2	2	2	5
AASDH	19	0	21	7	79	35	82	136	0	41	124	12	12	30	39	6	11	22	30	42	0	40
AASDHPPT	236	160	86	50	227	115	149	277	146	88	344	69	175	217	143	108	188	257	140	182	79	179
AASS	62	53	107	3	26	2	30	210	67	93	64	74	1	21	50	0	87	28	48	27	80	67
AATF	69	209	175	117	202	325	437	223	61	342	468	238	457	401	180	115	146	248	285	349	259	290
AATK	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
