A1BG	70	112	502	212	279	96	389
A1BG-AS1	0	0	0	0	0	0	0
A1CF	12	26	77	0	22	1	0
A2M	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0
A3GALT2	0	4	0	20	0	0	0
A4GALT	0	30	48	25	1	9	5
A4GNT	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0
AAAS	20	77	22	124	148	46	83
AACS	19	31	45	17	43	0	0
AACSP1	0	0	0	0	0	56	0
AADAC	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0
AADAT	0	0	35	0	0	6	71
AAED1	0	32	0	0	42	0	43
AAGAB	0	1	0	0	139	0	20
AAK1	74	88	209	108	121	131	144
AAMDC	18	39	132	111	144	108	113
AAMP	173	953	587	502	617	190	599
AANAT	1	0	0	0	0	0	0
AAR2	273	912	0	104	825	234	723
AARD	1	0	0	0	0	0	0
AARS	0	92	133	68	0	60	0
AARS2	6	0	42	109	50	0	0
AARSD1	3	17	7	6	8	2	16
AASDH	50	24	5	56	203	81	20
AASDHPPT	18	105	376	63	150	0	92
AASS	0	0	75	0	3	0	0
AATF	295	325	179	219	754	0	550
AATK	1	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0
ABAT	10	0	0	6	0	41	81
ABCA1	0	0	21	0	0	0	17
ABCA10	0	0	0	0	0	0	0
ABCA11P	15	39	10	83	21	86	122
ABCA12	0	0	0	115	0	0	0
ABCA13	0	0	0	0	0	0	0
ABCA17P	29	100	385	158	89	74	17
ABCA2	0	0	0	0	0	0	0
ABCA3	5	0	0	0	0	35	65
ABCA4	0	0	0	0	0	0	0
ABCA5	0	32	3	0	0	40	26
ABCA6	0	0	0	0	0	0	0
ABCA7	10	0	0	0	0	0	0
ABCA8	0	0	0	0	0	0	0
ABCA9	0	0	0	0	7	0	0
ABCB1	13	0	0	0	0	0	0
ABCB10	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0
ABCB4	13	1	79	1	0	61	76
ABCB5	0	0	0	0	0	0	0
ABCB6	0	0	0	0	18	0	0
ABCB7	54	92	48	81	240	152	179
ABCB8	2	0	0	0	35	0	0
ABCB9	33	151	115	169	4	43	225
ABCC1	0	0	12	0	0	0	105
ABCC10	0	0	0	0	0	0	1
ABCC11	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0
ABCC13	0	0	35	0	0	0	0
ABCC2	0	0	0	0	0	0	85
ABCC3	0	0	0	0	0	0	0
ABCC4	19	83	0	130	105	1	90
ABCC5	2	129	88	29	0	59	627
ABCC5-AS1	0	0	0	0	0	0	0
ABCC6	34	66	207	73	139	83	190
ABCC6P1	439	1161	2097	1010	1361	585	1809
ABCC6P2	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0
ABCD1	1	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0
ABCD3	8	184	58	50	51	0	40
ABCD4	93	57	151	206	43	0	192
ABCE1	79	93	132	131	393	117	427
ABCF1	587	1679	406	745	1057	491	2510
ABCF2	919	2096	2488	2506	1613	350	2281
ABCF3	40	81	71	154	26	17	300
ABCG1	0	0	0	2	0	0	0
ABCG2	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0
