A1BG	11	55	115	287	96	1	50	78	115	200	118
A1BG-AS1	0	0	0	0	0	0	0	0	0	16	8
A1CF	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0
A2ML1	19	0	0	0	0	0	4	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	45	30	0	0	0	0	0	0
A4GALT	366	1116	3025	1450	1377	7	2459	499	2615	2095	802
A4GNT	0	0	0	0	0	0	0	0	0	31	0
AA06	0	0	0	0	0	0	0	0	0	0	0
AAAS	219	1132	571	359	807	5	894	332	474	598	36
AACS	0	88	190	0	0	0	6	0	37	51	56
AACSP1	16	0	37	0	0	0	37	0	0	22	29
AADAC	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	3	0	0	12	20	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0
AADAT	26	0	0	69	0	0	0	0	63	22	0
AAED1	0	76	103	3	156	0	15	34	88	125	1
AAGAB	33	310	205	720	531	1	898	18	131	328	285
AAK1	18	225	419	271	42	3	216	155	138	343	152
AAMDC	124	345	756	651	720	4	106	240	514	1518	254
AAMP	971	2569	3862	2792	2435	26	3113	1707	2845	4113	3132
AANAT	0	0	0	0	0	0	0	0	0	0	0
AAR2	165	319	733	1086	233	4	833	793	783	1487	82
AARD	0	0	0	1	0	0	0	0	0	0	0
AARS	33	445	136	0	208	2	381	0	306	346	288
AARS2	153	343	656	1241	579	8	178	157	529	787	26
AARSD1	3	5	5	4	10	0	29	4	26	4	7
AASDH	7	169	51	233	195	0	148	178	224	133	0
AASDHPPT	63	472	548	341	481	0	468	274	479	562	150
AASS	6	75	166	107	68	0	271	150	6	151	47
AATF	268	849	2028	2214	939	6	1988	448	1947	646	1446
AATK	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0
ABAT	14	0	22	83	4	0	1	10	86	277	22
ABCA1	47	219	192	723	379	0	296	261	218	519	114
ABCA10	0	0	0	0	0	0	1	0	0	7	0
ABCA11P	2	24	104	8	20	0	19	15	5	46	11
ABCA12	0	0	0	0	0	0	0	0	0	7	143
ABCA13	2	18	16	0	124	0	103	0	94	0	34
ABCA17P	116	374	321	658	301	2	334	450	472	789	437
ABCA2	0	0	50	0	164	0	0	0	0	169	0
ABCA3	0	134	60	50	0	0	319	0	0	63	8
ABCA4	0	0	0	0	0	0	0	0	0	0	0
ABCA5	0	0	78	5	0	0	0	1	65	35	0
ABCA6	0	0	0	0	5	0	0	0	0	0	0
ABCA7	2	0	0	42	0	0	0	0	32	273	59
ABCA8	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	59	0	0	0	0	0	0
ABCB1	0	14	0	0	0	0	0	0	0	92	250
ABCB10	15	166	44	100	258	1	2	153	34	154	85
ABCB11	0	0	0	0	0	0	0	0	0	0	0
ABCB4	8	1	1	0	0	0	0	0	0	0	0
ABCB5	0	30	0	0	0	0	1	0	0	3	0
ABCB6	37	648	629	253	233	0	22	130	6	408	437
ABCB7	12	0	4	220	335	2	156	285	10	120	111
ABCB8	218	857	1084	914	1029	7	1170	349	699	465	590
ABCB9	0	0	6	0	0	0	37	2	0	5	0
ABCC1	0	0	193	0	0	0	82	0	0	231	193
ABCC10	0	0	0	23	86	0	1	33	161	0	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0
ABCC2	12	5	13	6	0	0	37	0	0	0	45
ABCC3	0	0	0	0	0	0	0	0	0	0	0
ABCC4	62	124	206	0	261	0	31	1	40	264	22
ABCC5	60	738	715	1066	341	2	559	402	517	2436	99
ABCC5-AS1	0	0	0	0	0	0	0	0	0	2	0
ABCC6	0	39	0	1	0	0	24	0	0	0	0
ABCC6P1	6	0	43	48	0	0	0	0	0	23	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	9
ABCD1	0	0	1	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0
ABCD3	25	155	174	158	277	0	49	156	225	208	265
ABCD4	0	78	54	45	121	0	137	150	28	160	0
ABCE1	45	645	704	834	595	2	790	246	506	322	226
ABCF1	558	2037	3377	3476	3914	24	1656	1093	2655	4804	1878
ABCF2	777	2359	3061	3359	2682	21	2561	1660	1588	3191	2009
ABCF3	255	575	1092	1418	166	4	740	791	882	914	375
ABCG1	0	1	0	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	206	0	0	0	0	0	0
